1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.3575 	EXP 	text_2: height = 0.05
6.3575 	EXP 	text_2: height = 0.05
6.3575 	EXP 	text_2: text = 0
6.3616 	EXP 	text_2: height = 0.05
6.3616 	EXP 	text_2: height = 0.05
6.3616 	EXP 	text_2: height = 0.05
6.3616 	EXP 	text_2: text = 0
6.3658 	EXP 	text_2: height = 0.05
6.3658 	EXP 	text_2: height = 0.05
6.3658 	EXP 	text_2: height = 0.05
6.3658 	EXP 	text_2: text = 0
6.3707 	EXP 	text_2: height = 0.05
6.3707 	EXP 	text_2: height = 0.05
6.3707 	EXP 	text_2: height = 0.05
6.3707 	EXP 	text_2: text = 0
6.3741 	EXP 	text_2: height = 0.05
6.3741 	EXP 	text_2: height = 0.05
6.3741 	EXP 	text_2: height = 0.05
6.3741 	EXP 	text_2: text = 0
6.3783 	EXP 	text_2: height = 0.05
6.3783 	EXP 	text_2: height = 0.05
6.3783 	EXP 	text_2: height = 0.05
6.3783 	EXP 	text_2: text = 0
6.3825 	EXP 	text_2: height = 0.05
6.3825 	EXP 	text_2: height = 0.05
6.3825 	EXP 	text_2: height = 0.05
6.3825 	EXP 	text_2: text = 0
6.3867 	EXP 	text_2: height = 0.05
6.3867 	EXP 	text_2: height = 0.05
6.3867 	EXP 	text_2: height = 0.05
6.3867 	EXP 	text_2: text = 0
6.3908 	EXP 	text_2: height = 0.05
6.3908 	EXP 	text_2: height = 0.05
6.3908 	EXP 	text_2: height = 0.05
6.3908 	EXP 	text_2: text = 0
6.3950 	EXP 	text_2: height = 0.05
6.3950 	EXP 	text_2: height = 0.05
6.3950 	EXP 	text_2: height = 0.05
6.3950 	EXP 	text_2: text = 0
6.3992 	EXP 	text_2: height = 0.05
6.3992 	EXP 	text_2: height = 0.05
6.3992 	EXP 	text_2: height = 0.05
6.3992 	EXP 	text_2: text = 0
6.4034 	EXP 	text_2: height = 0.05
6.4034 	EXP 	text_2: height = 0.05
6.4034 	EXP 	text_2: height = 0.05
6.4034 	EXP 	text_2: text = 0
6.4075 	EXP 	text_2: height = 0.05
6.4075 	EXP 	text_2: height = 0.05
6.4075 	EXP 	text_2: height = 0.05
6.4075 	EXP 	text_2: text = 0
6.4117 	EXP 	text_2: height = 0.05
6.4117 	EXP 	text_2: height = 0.05
6.4117 	EXP 	text_2: height = 0.05
6.4117 	EXP 	text_2: text = 0
6.4159 	EXP 	text_2: height = 0.05
6.4159 	EXP 	text_2: height = 0.05
6.4159 	EXP 	text_2: height = 0.05
6.4159 	EXP 	text_2: text = 0
6.4200 	EXP 	text_2: height = 0.05
6.4200 	EXP 	text_2: height = 0.05
6.4200 	EXP 	text_2: height = 0.05
6.4200 	EXP 	text_2: text = 0
6.4242 	EXP 	text_2: height = 0.05
6.4242 	EXP 	text_2: height = 0.05
6.4242 	EXP 	text_2: height = 0.05
6.4242 	EXP 	text_2: text = 0
6.4284 	EXP 	text_2: height = 0.05
6.4284 	EXP 	text_2: height = 0.05
6.4284 	EXP 	text_2: height = 0.05
6.4284 	EXP 	text_2: text = 0
6.4335 	EXP 	text_2: height = 0.05
6.4335 	EXP 	text_2: height = 0.05
6.4335 	EXP 	text_2: height = 0.05
6.4335 	EXP 	text_2: text = 0
6.4375 	EXP 	text_2: height = 0.05
6.4375 	EXP 	text_2: height = 0.05
6.4375 	EXP 	text_2: height = 0.05
6.4375 	EXP 	text_2: text = 0
6.4415 	EXP 	text_2: height = 0.05
6.4415 	EXP 	text_2: height = 0.05
6.4415 	EXP 	text_2: height = 0.05
6.4415 	EXP 	text_2: text = 0
6.4457 	EXP 	text_2: height = 0.05
6.4457 	EXP 	text_2: height = 0.05
6.4457 	EXP 	text_2: height = 0.05
6.4457 	EXP 	text_2: text = 0
6.4499 	EXP 	text_2: height = 0.05
6.4499 	EXP 	text_2: height = 0.05
6.4499 	EXP 	text_2: height = 0.05
6.4499 	EXP 	text_2: text = 0
6.4541 	EXP 	text_2: height = 0.05
6.4541 	EXP 	text_2: height = 0.05
6.4541 	EXP 	text_2: height = 0.05
6.4541 	EXP 	text_2: text = 0
6.4582 	EXP 	text_2: height = 0.05
6.4582 	EXP 	text_2: height = 0.05
6.4582 	EXP 	text_2: height = 0.05
6.4582 	EXP 	text_2: text = 0
6.4624 	EXP 	text_2: height = 0.05
6.4624 	EXP 	text_2: height = 0.05
6.4624 	EXP 	text_2: height = 0.05
6.4624 	EXP 	text_2: text = 0
6.4666 	EXP 	text_2: height = 0.05
6.4666 	EXP 	text_2: height = 0.05
6.4666 	EXP 	text_2: height = 0.05
6.4666 	EXP 	text_2: text = 0
6.4707 	EXP 	text_2: height = 0.05
6.4707 	EXP 	text_2: height = 0.05
6.4707 	EXP 	text_2: height = 0.05
6.4707 	EXP 	text_2: text = 0
6.4749 	EXP 	text_2: height = 0.05
6.4749 	EXP 	text_2: height = 0.05
6.4749 	EXP 	text_2: height = 0.05
6.4749 	EXP 	text_2: text = 0
6.4791 	EXP 	text_2: height = 0.05
6.4791 	EXP 	text_2: height = 0.05
6.4791 	EXP 	text_2: height = 0.05
