1.5557 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.3087 	EXP 	text: height = 0.05
7.3087 	EXP 	text: height = 0.05
7.3087 	EXP 	text: text = 1.7481953999995312
7.3128 	EXP 	text: height = 0.05
7.3128 	EXP 	text: height = 0.05
7.3128 	EXP 	text: height = 0.05
7.3128 	EXP 	text: text = 1.7440328000011505
7.3171 	EXP 	text: height = 0.05
7.3171 	EXP 	text: height = 0.05
7.3171 	EXP 	text: height = 0.05
7.3171 	EXP 	text: text = 1.7398347000016656
7.3212 	EXP 	text: height = 0.05
7.3212 	EXP 	text: height = 0.05
7.3212 	EXP 	text: height = 0.05
7.3212 	EXP 	text: text = 1.7355784999999742
7.3254 	EXP 	text: height = 0.05
7.3254 	EXP 	text: height = 0.05
7.3254 	EXP 	text: height = 0.05
7.3254 	EXP 	text: text = 1.7315114000011818
7.3295 	EXP 	text: height = 0.05
7.3295 	EXP 	text: height = 0.05
7.3295 	EXP 	text: height = 0.05
7.3295 	EXP 	text: text = 1.7273148999993282
7.3337 	EXP 	text: height = 0.05
7.3337 	EXP 	text: height = 0.05
7.3337 	EXP 	text: height = 0.05
7.3337 	EXP 	text: text = 1.7231565000001865
7.3379 	EXP 	text: height = 0.05
7.3379 	EXP 	text: height = 0.05
7.3379 	EXP 	text: height = 0.05
7.3379 	EXP 	text: text = 1.7189914000009594
7.3420 	EXP 	text: height = 0.05
7.3420 	EXP 	text: height = 0.05
7.3420 	EXP 	text: height = 0.05
7.3420 	EXP 	text: text = 1.7148266000003787
7.3464 	EXP 	text: height = 0.05
7.3464 	EXP 	text: height = 0.05
7.3464 	EXP 	text: height = 0.05
7.3464 	EXP 	text: text = 1.710666900002252
7.3504 	EXP 	text: height = 0.05
7.3504 	EXP 	text: height = 0.05
7.3504 	EXP 	text: height = 0.05
7.3504 	EXP 	text: text = 1.706280099999276
7.3546 	EXP 	text: height = 0.05
7.3546 	EXP 	text: height = 0.05
7.3546 	EXP 	text: height = 0.05
7.3546 	EXP 	text: text = 1.7022910000014235
7.3587 	EXP 	text: height = 0.05
7.3587 	EXP 	text: height = 0.05
7.3587 	EXP 	text: height = 0.05
7.3587 	EXP 	text: text = 1.6981120000018564
7.3629 	EXP 	text: height = 0.05
7.3629 	EXP 	text: height = 0.05
7.3629 	EXP 	text: height = 0.05
7.3629 	EXP 	text: text = 1.69394530000136
7.3671 	EXP 	text: height = 0.05
7.3671 	EXP 	text: height = 0.05
7.3671 	EXP 	text: height = 0.05
7.3671 	EXP 	text: text = 1.6897826000022178
7.3712 	EXP 	text: height = 0.05
7.3712 	EXP 	text: height = 0.05
7.3712 	EXP 	text: height = 0.05
7.3712 	EXP 	text: text = 1.6856206000011298
7.3754 	EXP 	text: height = 0.05
7.3754 	EXP 	text: height = 0.05
7.3754 	EXP 	text: height = 0.05
7.3754 	EXP 	text: text = 1.6814545000015642
7.3799 	EXP 	text: height = 0.05
7.3799 	EXP 	text: height = 0.05
7.3799 	EXP 	text: height = 0.05
7.3799 	EXP 	text: text = 1.6772908999992069
7.3840 	EXP 	text: height = 0.05
7.3840 	EXP 	text: height = 0.05
7.3840 	EXP 	text: height = 0.05
7.3840 	EXP 	text: text = 1.6727438999987498
7.3882 	EXP 	text: height = 0.05
7.3882 	EXP 	text: height = 0.05
7.3882 	EXP 	text: height = 0.05
7.3882 	EXP 	text: text = 1.6686928999988595
